/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:412: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:760.)
  adj_local = torch.sparse_coo_tensor(
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:412: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:760.)
  adj_local = torch.sparse_coo_tensor(
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:412: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:760.)
  adj_local = torch.sparse_coo_tensor(
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:412: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:760.)
  adj_local = torch.sparse_coo_tensor(
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:412: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:760.)
  adj_local = torch.sparse_coo_tensor(
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:412: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:760.)
  adj_local = torch.sparse_coo_tensor(
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:425: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at /pytorch/aten/src/ATen/SparseCsrTensorImpl.cpp:49.)
  adj_local = adj_local.to_sparse_csr()
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:425: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at /pytorch/aten/src/ATen/SparseCsrTensorImpl.cpp:49.)
  adj_local = adj_local.to_sparse_csr()
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:425: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at /pytorch/aten/src/ATen/SparseCsrTensorImpl.cpp:49.)
  adj_local = adj_local.to_sparse_csr()
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:425: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at /pytorch/aten/src/ATen/SparseCsrTensorImpl.cpp:49.)
  adj_local = adj_local.to_sparse_csr()
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:412: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:760.)
  adj_local = torch.sparse_coo_tensor(
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:412: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:760.)
  adj_local = torch.sparse_coo_tensor(
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:425: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at /pytorch/aten/src/ATen/SparseCsrTensorImpl.cpp:49.)
  adj_local = adj_local.to_sparse_csr()
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:425: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at /pytorch/aten/src/ATen/SparseCsrTensorImpl.cpp:49.)
  adj_local = adj_local.to_sparse_csr()
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:425: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at /pytorch/aten/src/ATen/SparseCsrTensorImpl.cpp:49.)
  adj_local = adj_local.to_sparse_csr()
/pscratch/sd/h/hmuki/plexus/plexus/utils/dataloader.py:425: UserWarning: Sparse CSR tensor support is in beta state. If you miss a functionality in the sparse tensor support, please submit a feature request to https://github.com/pytorch/pytorch/issues. (Triggered internally at /pytorch/aten/src/ATen/SparseCsrTensorImpl.cpp:49.)
  adj_local = adj_local.to_sparse_csr()
[info] RMSNorm + ReLU + Dropout fused and compiled with torch.compile
steps_per_epoch:  41
steps_per_epoch:  41
steps_per_epoch:  41
steps_per_epoch:  41
steps_per_epoch:  41
steps_per_epoch:  41
steps_per_epoch:  41
steps_per_epoch:  41
Epoch: 000, Train Loss: 3.4596
Epoch: 001, Train Loss: 3.3943
Epoch: 002, Train Loss: 3.3294
Epoch: 003, Train Loss: 3.2795
Epoch: 004, Train Loss: 3.2687
Epoch: 005, Train Loss: 3.2705
Epoch: 006, Train Loss: 3.2418
Epoch: 007, Train Loss: 3.2477
Epoch: 008, Train Loss: 3.2857
rank 3 Peak GPU memory: 8.20 GB
rank 2 Peak GPU memory: 8.20 GB
rank 1 Peak GPU memory: 8.20 GB
rank 4 Peak GPU memory: 8.20 GB
rank 7 Peak GPU memory: 8.59 GB
rank 6 Peak GPU memory: 8.20 GB
rank 5 Peak GPU memory: 8.20 GB
|--[95m 'drop | Max Time: 0.232 ms | Avg Time: 0.214 ms | Load Imbalance: 1.083' [0m

|--[95m 'epoch 0 | Max Time: 8616.958 ms | Avg Time: 8613.875 ms | Load Imbalance: 1.000' [0m
	|--[92m 'minibatch prep | Max Time: 574.306 ms | Avg Time: 550.367 ms | Load Imbalance: 1.043' [0m
		|--[96m 'sample nodes | Max Time: 158.720 ms | Avg Time: 157.905 ms | Load Imbalance: 1.005' [0m
		|--[96m 'compact indices | Max Time: 35.140 ms | Avg Time: 34.777 ms | Load Imbalance: 1.010' [0m
		|--[96m 'compact adj shards | Max Time: 360.163 ms | Avg Time: 336.226 ms | Load Imbalance: 1.071' [0m
			|--[91m 'compact layout prep | Max Time: 103.210 ms | Avg Time: 85.218 ms | Load Imbalance: 1.211' [0m
			|--[91m 'compact csr: indices | Max Time: 2.789 ms | Avg Time: 2.667 ms | Load Imbalance: 1.046' [0m
			|--[91m 'compact csr: row ptrs | Max Time: 23.637 ms | Avg Time: 23.142 ms | Load Imbalance: 1.021' [0m
			|--[91m 'compact csr: nnz index | Max Time: 30.598 ms | Avg Time: 29.381 ms | Load Imbalance: 1.041' [0m
			|--[91m 'compact csr: select nnz | Max Time: 11.204 ms | Avg Time: 10.377 ms | Load Imbalance: 1.080' [0m
			|--[91m 'compact csr: col map | Max Time: 20.830 ms | Avg Time: 19.939 ms | Load Imbalance: 1.045' [0m
			|--[91m 'compact csr: edge scale | Max Time: 34.929 ms | Avg Time: 33.538 ms | Load Imbalance: 1.041' [0m
			|--[91m 'compact csr: crow | Max Time: 41.590 ms | Avg Time: 41.245 ms | Load Imbalance: 1.008' [0m
			|--[91m 'compact csr: adjt direct | Max Time: 46.168 ms | Avg Time: 44.016 ms | Load Imbalance: 1.049' [0m
		|--[96m 'compact feature slice | Max Time: 7.151 ms | Avg Time: 7.118 ms | Load Imbalance: 1.005' [0m
		|--[96m 'compact label slice | Max Time: 8.215 ms | Avg Time: 8.004 ms | Load Imbalance: 1.026' [0m
	|--[92m 'train step | Max Time: 8073.265 ms | Avg Time: 8061.617 ms | Load Imbalance: 1.001' [0m
		|--[96m 'input_linear | Max Time: 261.171 ms | Avg Time: 233.846 ms | Load Imbalance: 1.117' [0m
			|--[91m 'input_linear X * W | Max Time: 49.577 ms | Avg Time: 47.587 ms | Load Imbalance: 1.042' [0m
			|--[91m 'all-reduce | Max Time: 205.839 ms | Avg Time: 178.107 ms | Load Imbalance: 1.156' [0m
			|--[91m 'OUT + BIAS | Max Time: 5.825 ms | Avg Time: 5.818 ms | Load Imbalance: 1.001' [0m
		|--[96m 'gcn conv fwd | Max Time: 1252.069 ms | Avg Time: 1130.548 ms | Load Imbalance: 1.107' [0m
			|--[91m 'AGG = A * H | Max Time: 49.684 ms | Avg Time: 42.265 ms | Load Imbalance: 1.176' [0m
			|--[91m 'allreduce H | Max Time: 590.634 ms | Avg Time: 513.815 ms | Load Imbalance: 1.150' [0m
				|--[95m 'allreduce lowp comm dtype | Max Time: 13.221 ms | Avg Time: 13.028 ms | Load Imbalance: 1.015' [0m
				|--[95m 'allreduce lowp | Max Time: 560.534 ms | Avg Time: 483.739 ms | Load Imbalance: 1.159' [0m
				|--[95m 'allreduce copy back | Max Time: 15.893 ms | Avg Time: 15.862 ms | Load Imbalance: 1.002' [0m
			|--[91m 'Allgather W | Max Time: 205.850 ms | Avg Time: 112.463 ms | Load Imbalance: 1.830' [0m
				|--[95m 'gather | Max Time: 205.244 ms | Avg Time: 111.865 ms | Load Imbalance: 1.835' [0m
			|--[91m 'OUT = AGG * W | Max Time: 41.799 ms | Avg Time: 41.754 ms | Load Imbalance: 1.001' [0m
			|--[91m 'allreduce Q | Max Time: 455.284 ms | Avg Time: 418.427 ms | Load Imbalance: 1.088' [0m
				|--[95m 'allreduce lowp comm dtype | Max Time: 13.293 ms | Avg Time: 13.239 ms | Load Imbalance: 1.004' [0m
				|--[95m 'allreduce lowp | Max Time: 425.057 ms | Avg Time: 388.203 ms | Load Imbalance: 1.095' [0m
				|--[95m 'allreduce copy back | Max Time: 15.848 ms | Avg Time: 15.819 ms | Load Imbalance: 1.002' [0m
		|--[96m 'activation | Max Time: 3692.911 ms | Avg Time: 3610.846 ms | Load Imbalance: 1.023' [0m
			|--[91m 'all-reduce | Max Time: 193.574 ms | Avg Time: 89.865 ms | Load Imbalance: 2.154' [0m
		|--[96m 'output_linear | Max Time: 166.204 ms | Avg Time: 68.087 ms | Load Imbalance: 2.441' [0m
			|--[91m 'output_linear X * W | Max Time: 5.040 ms | Avg Time: 4.925 ms | Load Imbalance: 1.023' [0m
			|--[91m 'all-reduce | Max Time: 160.169 ms | Avg Time: 61.995 ms | Load Imbalance: 2.584' [0m
			|--[91m 'OUT + BIAS | Max Time: 0.784 ms | Avg Time: 0.762 ms | Load Imbalance: 1.029' [0m
		|--[96m 'cross entropy fwd | Max Time: 289.292 ms | Avg Time: 201.453 ms | Load Imbalance: 1.436' [0m
		|--[96m 'cross entropy bwd | Max Time: 6.114 ms | Avg Time: 4.561 ms | Load Imbalance: 1.341' [0m
		|--[96m 'linear_3d_bwd | Max Time: 108.678 ms | Avg Time: 106.286 ms | Load Imbalance: 1.023' [0m
			|--[91m 'output_linear GRAD_X | Max Time: 8.974 ms | Avg Time: 5.990 ms | Load Imbalance: 1.498' [0m
			|--[91m 'all-reduce | Max Time: 79.011 ms | Avg Time: 70.970 ms | Load Imbalance: 1.113' [0m
			|--[91m 'output_linear GRAD_W | Max Time: 13.800 ms | Avg Time: 9.372 ms | Load Imbalance: 1.473' [0m
			|--[91m 'input_linear GRAD_W | Max Time: 7.955 ms | Avg Time: 7.933 ms | Load Imbalance: 1.003' [0m
		|--[96m 'gcn conv bwd | Max Time: 2206.965 ms | Avg Time: 1965.653 ms | Load Imbalance: 1.123' [0m
			|--[91m 'gather | Max Time: 1216.398 ms | Avg Time: 598.103 ms | Load Imbalance: 2.034' [0m
			|--[91m 'GRAD_AGG = GRAD_OUT * W.T | Max Time: 41.050 ms | Avg Time: 40.970 ms | Load Imbalance: 1.002' [0m
			|--[91m 'allreduce lowp comm dtype | Max Time: 13.359 ms | Avg Time: 13.326 ms | Load Imbalance: 1.002' [0m
			|--[91m 'allreduce lowp | Max Time: 1837.575 ms | Avg Time: 1013.480 ms | Load Imbalance: 1.813' [0m
			|--[91m 'allreduce copy back | Max Time: 15.900 ms | Avg Time: 15.864 ms | Load Imbalance: 1.002' [0m
			|--[91m 'GRAD_W = AGG.T * GRAD_OUT | Max Time: 40.454 ms | Avg Time: 40.396 ms | Load Imbalance: 1.001' [0m
			|--[91m 'ReduceScatter grad_weight | Max Time: 10.447 ms | Avg Time: 7.560 ms | Load Imbalance: 1.382' [0m
				|--[95m 'reduce-scatter | Max Time: 9.860 ms | Avg Time: 6.976 ms | Load Imbalance: 1.414' [0m
					|--[92m 'reduce-scatter-dist | Max Time: 9.292 ms | Avg Time: 6.389 ms | Load Imbalance: 1.454' [0m
			|--[91m 'GRAD_H = A.T * GRAD_AGG | Max Time: 36.788 ms | Avg Time: 29.651 ms | Load Imbalance: 1.241' [0m
			|--[91m 'allreduce grad_x | Max Time: 210.441 ms | Avg Time: 203.355 ms | Load Imbalance: 1.035' [0m
